unitName,unitType,unitSize,race,meleeAttack,meleeDefense,hitPointsPerUnit,weaponStrength,speed,leadership,armor,chargeBonus,chargeImpactDamage,chargeCount,baseRange,attackAccuracy,missileStrength,rarityTier,baseUnitCount,attackCooldown,ammunition,rateOfFire,explosionDamage,explosionRange,explosionForce,none,standardShields,armorPiercing,antiInfantry,antiLarge,terrifying,stalwart,outrider,swampCreature,forestDweller,chickenFlight,ethereal,bloodFrenzy,rage,emblazing,unstoppable,heavyShields,throwingAxes,armorSundering,monsterSlayer,forgefuryTempering,flamingAmmo,dragonsHoard,backStabbers,thickScales,shotDiscipline,overdraw,steadyAim,demolisher,powderReserves,deepQuivers
BorderlandRiders,Melee,Cavalry,IronLegion,16,15,150,33,80,30,15,40,78,3,0,0,0,Common,24,1,0,0,0,0,0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
FieldPikemen,Melee,Infantry,IronLegion,32,32,100,28,30,30,30,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
LevySwordsmen,Melee,Infantry,IronLegion,32,32,100,28,30,30,30,4,0,3,0,0,0,Common,48,1,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
PeasantBowmen,Ranged,Infantry,IronLegion,14,17,100,24,33,30,10,2,0,3,75,50,10,Common,48,1,750,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Arbalesters,Ranged,Infantry,IronLegion,14,17,100,24,33,50,15,2,0,3,50,75,14,Uncommon,48,1,900,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
HearthboundKnights,Melee,Cavalry,IronLegion,35,34,150,24,65,60,50,30,105,3,0,0,0,Uncommon,24,1,0,0,0,0,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
KaiserCannon,Artillery,Artillery,IronLegion,32,32,300,28,15,30,20,4,0,1,125,75,100,Uncommon,3,1,60,10,75,5,5,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
LandsknechtGreatswords,Melee,Infantry,IronLegion,32,30,100,35,27,60,100,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
MilanesePolearms,Melee,Infantry,IronLegion,32,32,100,28,30,60,50,4,0,3,0,0,0,Uncommon,48,1,0,0,0,0,0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
BlackEagleHalberdiers,Melee,Infantry,IronLegion,32,32,140,34,25,90,80,4,0,3,0,0,0,Rare,36,1,0,0,0,0,0,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
